,Time,Pose_X,Pose_Y,Rezeroed_timestamps
259,1739967534.7,0.606,1.4145833333333333,25.90000009536743
260,1739967534.8,0.3636,1.2933333333333332,26.0
261,1739967534.9,0.4444,1.4145833333333333,26.100000143051147
262,1739967535.0,0.404,1.4145833333333333,26.200000047683716
263,1739967535.1,0.4444,1.4145833333333333,26.299999952316284
264,1739967535.2,0.5252,1.2529166666666667,26.40000009536743
265,1739967535.3,0.3636,1.3741666666666665,26.5
266,1739967535.4,0.3636,1.1720833333333334,26.600000143051147
267,1739967535.5,0.4444,1.2529166666666667,26.700000047683716
268,1739967535.6,0.404,1.2933333333333332,26.799999952316284
269,1739967535.7,0.4848,1.2933333333333332,26.90000009536743
270,1739967535.8,0.5656000000000001,1.1316666666666666,27.0
271,1739967535.9,0.404,1.1720833333333334,27.100000143051147
272,1739967536.0,0.404,1.1316666666666666,27.200000047683716
273,1739967536.1,0.202,0.8891666666666665,27.299999952316284
274,1739967536.2,0.3232,0.8083333333333332,27.40000009536743
275,1739967536.3,0.3232,0.8487499999999999,27.5
276,1739967536.4,0.3636,0.8891666666666665,27.600000143051147
277,1739967536.5,0.28280000000000005,0.97,27.700000047683716
278,1739967536.6,0.6464,0.8083333333333332,27.799999952316284
279,1739967536.7,0.202,0.8891666666666665,27.90000009536743
280,1739967536.8,0.404,0.97,28.0
281,1739967536.9,0.4444,0.7679166666666666,28.100000143051147
282,1739967537.0,0.0,1.0104166666666667,28.200000047683716
283,1739967537.1,0.5656000000000001,0.5254166666666666,28.299999952316284
284,1739967537.2,0.28280000000000005,0.7679166666666666,28.40000009536743
285,1739967537.3,0.2424,0.6466666666666666,28.5
286,1739967537.4,0.404,0.6466666666666666,28.600000143051147
287,1739967537.5,0.404,0.6466666666666666,28.700000047683716
288,1739967537.6,0.202,0.60625,28.799999952316284
289,1739967537.7,0.28280000000000005,0.5658333333333333,28.90000009536743
290,1739967537.8,0.2424,0.5254166666666666,29.0
291,1739967537.9,0.4444,0.5254166666666666,29.100000143051147
292,1739967538.0,0.2424,0.5254166666666666,29.200000047683716
293,1739967538.1,0.3636,0.5658333333333333,29.299999952316284
294,1739967538.2,0.4444,0.6466666666666666,29.40000009536743
295,1739967538.3,0.4444,0.60625,29.5
296,1739967538.4,0.606,0.7679166666666666,29.600000143051147
297,1739967538.5,0.3636,0.5658333333333333,29.700000047683716
298,1739967538.6,0.3636,0.5254166666666666,29.799999952316284
299,1739967538.7,0.202,0.5254166666666666,29.90000009536743
300,1739967538.8,0.2424,0.60625,30.0
301,1739967538.9,0.2424,0.5658333333333333,30.100000143051147
302,1739967539.0,0.28280000000000005,0.5254166666666666,30.200000047683716
303,1739967539.1,0.4848,0.5254166666666666,30.299999952316284
304,1739967539.2,0.202,0.5254166666666666,30.40000009536743
305,1739967539.3,0.2424,0.5254166666666666,30.5
306,1739967539.4,0.7272,0.60625,30.600000143051147
307,1739967539.5,0.808,0.6466666666666666,30.700000047683716
308,1739967539.6,0.3232,0.5254166666666666,30.799999952316284
309,1739967539.7,0.7272,0.5254166666666666,30.90000009536743
310,1739967539.8,0.606,0.5658333333333333,31.0
311,1739967539.9,0.2424,0.5658333333333333,31.100000143051147
312,1739967540.0,0.3232,0.5254166666666666,31.200000047683716
313,1739967540.1,0.3232,0.5254166666666666,31.299999952316284
314,1739967540.2,0.2424,0.5254166666666666,31.40000009536743
315,1739967540.3,0.404,0.5254166666666666,31.5
316,1739967540.4,0.28280000000000005,0.5254166666666666,31.600000143051147
317,1739967540.5,0.7272,0.5254166666666666,31.700000047683716
318,1739967540.6,0.606,0.5254166666666666,31.799999952316284
